,VentNoeud,HouleDominante,HouleMax,HoulePeriode,Mer,Temperature,JourNuit,VentDanger,HouleDanger,Ligne_Frioul-Vieux Port,Ligne_IF-Frioul,Ligne_IF-Vieux Port,Ligne_Vieux Port-Frioul,Ligne_Vieux Port-IF,Annulation
30867,6.0,0.8,1.3,5.0,2,21.0,0,0,0,0.0,0.0,0.0,1.0,0.0,0
30868,9.0,0.9,1.5,5.0,2,23.0,0,0,0,0.0,1.0,0.0,0.0,0.0,1
30869,11.0,0.8,1.1,5.0,2,24.0,0,0,0,0.0,0.0,0.0,0.0,1.0,1
30870,11.0,0.8,1.1,5.0,2,24.0,0,0,0,1.0,0.0,0.0,0.0,0.0,0
30871,11.0,0.8,1.1,5.0,2,24.0,0,0,0,0.0,0.0,0.0,1.0,0.0,0
30872,11.0,0.8,1.1,5.0,2,24.0,0,0,0,0.0,1.0,0.0,0.0,0.0,1
30873,8.0,0.9,1.7,5.0,2,25.0,0,0,0,0.0,0.0,0.0,1.0,0.0,0
30874,8.0,0.9,1.7,5.0,2,25.0,0,0,0,1.0,0.0,0.0,0.0,0.0,0
30875,8.0,0.9,1.7,5.0,2,25.0,0,0,0,0.0,0.0,0.0,0.0,1.0,1
30876,4.0,0.9,1.3,6.0,2,22.0,0,0,0,0.0,1.0,0.0,0.0,0.0,1
30877,4.0,0.9,1.3,6.0,2,22.0,0,0,0,0.0,0.0,0.0,1.0,0.0,0
30878,4.0,0.9,1.3,6.0,2,22.0,0,0,0,1.0,0.0,0.0,0.0,0.0,0
30879,4.0,0.9,1.3,6.0,2,22.0,0,0,0,0.0,0.0,0.0,0.0,1.0,1
30880,4.0,0.7,1.2,5.0,2,22.0,0,0,0,0.0,1.0,0.0,0.0,0.0,1
30881,10.0,0.8,1.4,5.0,2,24.0,0,1,0,1.0,0.0,0.0,0.0,0.0,0
30882,10.0,0.8,1.4,5.0,2,24.0,0,1,0,0.0,0.0,0.0,1.0,0.0,0
30883,10.0,0.8,1.4,5.0,2,24.0,0,1,0,0.0,0.0,0.0,0.0,1.0,1
30884,10.0,0.8,1.4,5.0,2,24.0,0,1,0,0.0,1.0,0.0,0.0,0.0,1
30885,11.0,0.8,1.3,5.0,2,24.0,0,1,0,1.0,0.0,0.0,0.0,0.0,0
30886,11.0,0.8,1.3,5.0,2,24.0,0,1,0,0.0,0.0,0.0,1.0,0.0,0
30887,11.0,0.8,1.3,5.0,2,24.0,0,1,0,0.0,0.0,0.0,0.0,1.0,1
30888,8.0,0.8,1.2,5.0,2,23.0,0,1,0,1.0,0.0,0.0,0.0,0.0,0
30889,8.0,0.8,1.2,5.0,2,23.0,0,1,0,0.0,1.0,0.0,0.0,0.0,1
30890,8.0,0.8,1.2,5.0,2,23.0,0,1,0,0.0,0.0,0.0,1.0,0.0,0
30891,8.0,0.8,1.4,5.0,2,23.0,0,1,0,1.0,0.0,0.0,0.0,0.0,0
30892,8.0,0.8,1.4,5.0,2,23.0,0,1,0,0.0,0.0,0.0,1.0,0.0,0
30893,8.0,0.8,1.4,5.0,2,23.0,0,1,0,0.0,0.0,0.0,0.0,1.0,1
30894,11.0,0.8,1.5,5.0,2,23.0,0,1,0,0.0,1.0,0.0,0.0,0.0,1
30895,11.0,0.8,1.5,5.0,2,23.0,0,1,0,1.0,0.0,0.0,0.0,0.0,0
