,VentNoeud,HouleDominante,HouleMax,HoulePeriode,Mer,Temperature,JourNuit,VentMistral,HouleMistral,Annulation
15845,9.0,0.5,0.8,3.0,1,17.0,0,1,1,1
15849,18.0,0.9,1.6,4.0,2,18.0,0,1,1,1
15853,23.0,1.4,2.2,5.0,3,19.0,0,1,1,1
15856,17.0,1.5,2.9,6.0,3,19.0,0,1,0,1
15861,13.0,1.5,2.6,6.0,3,19.0,0,1,0,1
15882,22.0,1.8,2.9,5.0,3,12.0,0,1,0,1
15887,22.0,1.8,2.7,6.0,3,14.0,0,1,0,1
15891,20.0,1.6,2.8,5.0,3,15.0,0,1,0,1
15895,12.0,1.5,3.0,5.0,3,15.0,0,1,1,1
15898,18.0,1.5,2.4,6.0,3,15.0,0,1,0,1
15902,21.0,1.4,2.6,5.0,3,15.0,0,1,0,1
15943,23.0,2.3,4.0,7.0,3,13.0,0,0,0,1
15947,23.0,2.3,3.5,7.0,3,13.0,0,0,0,1
15951,21.0,2.4,3.8,6.0,3,14.0,0,0,0,1
15955,20.0,2.3,3.8,6.0,3,14.0,0,0,0,1
15959,22.0,2.4,4.3,6.0,3,14.0,0,0,0,1
15962,21.0,2.3,3.2,6.0,3,12.0,0,0,0,1
15979,12.0,1.2,2.4,6.0,2,8.0,0,1,0,1
15982,8.0,1.0,1.7,6.0,2,8.0,0,1,0,1
15987,3.0,1.1,2.3,7.0,2,11.0,0,1,0,1
15990,4.0,1.1,1.9,7.0,2,12.0,0,1,0,1
15995,10.0,1.1,1.8,7.0,2,14.0,0,0,0,1
16000,10.0,1.3,2.5,7.0,3,13.0,0,0,0,1
16018,7.0,2.1,3.1,7.0,3,15.0,0,0,0,1
16022,7.0,2.0,3.4,8.0,3,14.0,0,1,0,1
16027,2.0,2.1,3.7,8.0,3,14.0,0,1,0,1
16031,6.0,2.1,4.2,9.0,3,16.0,0,0,0,1
16034,2.0,2.2,3.5,9.0,3,16.0,0,0,0,1
16039,4.0,2.1,3.7,9.0,3,17.0,0,1,0,1
16055,16.0,1.8,2.9,6.0,3,17.0,0,0,0,1
16060,23.0,1.8,3.3,6.0,3,18.0,0,0,0,1
16064,20.0,1.9,3.0,6.0,3,19.0,0,0,0,1
16068,15.0,1.9,2.9,6.0,3,19.0,0,0,0,1
16071,23.0,2.0,3.5,6.0,3,20.0,0,0,0,1
16076,21.0,1.9,3.3,6.0,3,21.0,0,0,0,1
16092,6.0,2.0,3.7,6.0,3,16.0,0,0,0,1
16095,15.0,1.7,2.8,6.0,3,16.0,0,0,0,1
16096,8.0,1.6,2.5,6.0,3,16.0,0,0,0,1
16102,20.0,1.8,3.0,6.0,3,19.0,0,0,0,1
16103,21.0,1.6,2.7,6.0,3,20.0,0,0,0,1
16109,22.0,1.5,2.6,6.0,3,19.0,0,0,0,1
16114,20.0,1.4,2.2,5.0,3,18.0,0,0,0,1
16117,17.0,1.2,2.0,6.0,2,17.0,0,0,0,1
16137,17.0,1.9,3.5,6.0,3,12.0,0,0,0,0
16140,17.0,2.1,3.7,6.0,3,13.0,0,0,0,1
16142,20.0,2.1,4.3,6.0,3,15.0,0,0,0,1
16147,13.0,2.0,3.5,7.0,3,15.0,0,0,0,1
16149,18.0,2.2,3.5,7.0,3,16.0,0,0,0,1
16155,22.0,2.0,3.3,7.0,3,16.0,0,0,0,1
16158,22.0,2.2,3.8,7.0,3,15.0,0,0,0,1
16162,16.0,2.3,3.8,8.0,3,15.0,0,0,0,1
16183,3.0,0.3,0.6,3.0,1,7.0,0,0,0,0
16185,4.0,0.3,0.6,3.0,1,7.0,0,0,1,0
16189,5.0,0.3,0.5,3.0,1,9.0,0,0,1,0
16192,6.0,0.3,0.6,4.0,1,11.0,0,0,0,0
16195,9.0,0.3,0.5,4.0,1,12.0,0,0,0,0
16197,13.0,0.4,0.7,3.0,1,12.0,0,0,0,0
16200,13.0,0.6,1.0,3.0,2,13.0,0,0,0,0
16203,13.0,0.6,1.0,4.0,2,11.0,0,0,0,0
16207,11.0,0.6,1.0,4.0,2,11.0,0,0,0,0
16210,10.0,0.7,1.2,4.0,2,10.0,0,0,0,0
16213,10.0,0.7,1.2,4.0,2,10.0,0,0,0,0
16230,3.0,0.8,1.4,6.0,2,7.0,0,1,0,0
16232,4.0,0.9,1.5,6.0,2,8.0,0,1,0,0
16235,3.0,0.9,1.4,6.0,2,9.0,0,1,0,0
